user_id,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9
1,48,58,53,58,45,28,34,67
10,61,58,69,61,60,62,77,70
100,2,5,3,1,1,2,3,1
101,0,27,2,0,1,1,0,0
102,0,0,0,2,0,0,0,0
103,53,60,68,63,57,61,0,0
105,0,0,0,16,0,0,0,0
106,14,17,11,22,23,21,19,17
109,35,47,55,68,63,59,63,0
110,0,13,19,4,0,0,0,0
111,42,48,47,43,43,44,43,45
112,67,0,0,0,0,0,0,0
113,64,61,55,64,60,0,0,0
12,0,0,58,56,32,45,62,52
13,0,0,0,0,0,0,0,0
15,4,3,2,0,0,6,4,0
17,44,64,21,20,0,0,0,0
2,5,4,6,2,5,1,5,5
20,18,3,0,0,0,0,0,0
21,25,24,20,24,19,38,14,13
22,47,50,62,46,47,58,38,38
23,3,0,0,0,0,0,0,0
25,0,2,0,0,0,0,0,0
27,52,49,72,58,52,56,37,0
28,0,0,0,0,0,0,0,0
3,7,5,11,6,23,23,36,25
30,48,8,19,25,5,16,23,8
31,4,5,5,3,1,3,1,3
32,0,0,0,1,0,0,0,0
33,0,0,0,0,0,0,0,0
34,41,38,39,21,28,29,36,32
35,0,3,7,4,21,16,23,15
38,8,18,14,13,24,25,34,29
39,1,12,6,0,2,0,8,7
4,54,31,5,5,5,3,0,0
40,52,59,59,71,53,54,0,0
41,7,38,43,29,0,0,0,0
44,47,0,0,0,0,0,0,0
46,4,0,0,0,0,0,0,0
47,31,35,53,18,6,6,22,42
48,58,43,60,5,16,18,11,0
49,32,27,28,35,20,27,34,43
5,39,51,49,53,46,43,45,52
51,4,2,5,9,0,5,15,10
52,40,27,46,51,56,30,62,61
54,0,0,0,0,0,0,0,0
56,104,0,0,0,0,0,0,0
59,36,42,47,50,56,0,0,0
60,8,1,0,0,1,0,0,0
61,0,0,1,0,0,0,0,0
62,1,0,5,11,8,0,0,0
66,0,0,0,0,0,0,0,0
68,7,4,3,0,0,0,0,0
7,35,30,39,22,17,4,17,15
70,55,45,62,42,56,46,40,25
71,0,0,0,0,0,0,0,0
72,52,55,66,46,48,55,57,51
74,77,84,0,0,0,0,0,0
75,3,5,0,0,0,0,0,0
76,0,0,0,0,6,16,0,8
77,1,1,1,2,0,0,0,5
78,0,0,0,0,39,34,0,20
79,28,28,25,34,36,32,34,32
8,2,3,0,0,0,6,0,0
80,21,16,3,12,7,3,2,9
81,0,0,0,0,0,0,0,0
82,3,31,3,18,14,19,15,8
83,39,39,8,13,21,0,4,8
84,42,48,59,68,1,18,71,63
85,0,14,14,19,0,1,33,0
86,25,11,12,10,0,0,0,8
87,2,0,6,0,0,0,0,0
88,16,1,3,0,0,0,0,0
9,37,16,4,12,28,27,22,10
90,0,2,0,0,0,0,0,0
91,12,12,7,10,8,5,3,4
92,14,9,6,4,0,13,5,12
93,1,0,0,0,0,0,0,0
96,26,25,50,60,13,49,76,65
97,1,0,0,0,0,0,0,0
98,21,18,27,13,15,16,15,10
unknown,48,44,31,24,14,18,28,57
